dataset,model,signal,coverage,selective_accuracy,risk,n,small_n
CADEC,BioBERT,combined,0.25,0.7440056417489421,0.2559943582510579,5669,False
CADEC,BioBERT,combined,0.2,0.7522045855379189,0.2477954144620811,5669,False
CADEC,BioBERT,combined,0.15,0.7602820211515864,0.23971797884841362,5669,False
CADEC,BioBERT,combined,0.1,0.7619047619047619,0.23809523809523814,5669,False
CADEC,BioBERT,combined_3,1.0,0.4103016405009702,0.5896983594990298,5669,False
CADEC,BioBERT,combined_3,0.95,0.4313033791310806,0.5686966208689195,5669,False
CADEC,BioBERT,combined_3,0.9,0.45443856554967665,0.5455614344503233,5669,False
CADEC,BioBERT,combined_3,0.85,0.47395725254202115,0.5260427474579789,5669,False
CADEC,BioBERT,combined_3,0.8,0.5,0.5,5669,False
CADEC,BioBERT,combined_3,0.75,0.5214016933207902,0.4785983066792098,5669,False
CADEC,BioBERT,combined_3,0.7,0.5487528344671202,0.4512471655328798,5669,False
CADEC,BioBERT,combined_3,0.65,0.5761194029850746,0.4238805970149254,5669,False
CADEC,BioBERT,combined_3,0.6,0.5881834215167548,0.41181657848324515,5669,False
CADEC,BioBERT,combined_3,0.55,0.6100064143681847,0.3899935856318153,5669,False
CADEC,BioBERT,combined_3,0.5,0.6317460317460317,0.3682539682539683,5669,False
CADEC,BioBERT,combined_3,0.45,0.6445924764890282,0.3554075235109718,5669,False
CADEC,BioBERT,combined_3,0.4,0.6631393298059964,0.33686067019400356,5669,False
CADEC,BioBERT,combined_3,0.35,0.6906801007556675,0.30931989924433245,5669,False
CADEC,BioBERT,combined_3,0.3,0.6649029982363316,0.3350970017636684,5669,False
CADEC,BioBERT,combined_3,0.25,0.6805359661495064,0.3194640338504936,5669,False
CADEC,BioBERT,combined_3,0.2,0.6798941798941799,0.3201058201058201,5669,False
CADEC,BioBERT,combined_3,0.15,0.6721504112808461,0.32784958871915393,5669,False
CADEC,BioBERT,combined_3,0.1,0.6613756613756614,0.3386243386243386,5669,False
CADEC,BioBERT,confidence,1.0,0.4103016405009702,0.5896983594990298,5669,False
CADEC,BioBERT,confidence,0.95,0.43167471221685855,0.5683252877831415,5669,False
CADEC,BioBERT,confidence,0.9,0.4536547129139722,0.5463452870860278,5669,False
CADEC,BioBERT,confidence,0.85,0.4741647644739573,0.5258352355260427,5669,False
CADEC,BioBERT,confidence,0.8,0.5004409171075838,0.49955908289241624,5669,False
CADEC,BioBERT,confidence,0.75,0.5246942615239887,0.4753057384760113,5669,False
CADEC,BioBERT,confidence,0.7,0.5512723607961704,0.44872763920382963,5669,False
CADEC,BioBERT,confidence,0.65,0.5649932157394844,0.43500678426051564,5669,False
CADEC,BioBERT,confidence,0.6,0.5958259847148736,0.4041740152851264,5669,False
CADEC,BioBERT,confidence,0.55,0.6234765875561257,0.37652341244387433,5669,False
CADEC,BioBERT,confidence,0.5,0.6440917107583775,0.35590828924162254,5669,False
CADEC,BioBERT,confidence,0.45,0.6606583072100314,0.3393416927899686,5669,False
CADEC,BioBERT,confidence,0.4,0.667989417989418,0.332010582010582,5669,False
CADEC,BioBERT,confidence,0.35,0.6921914357682619,0.3078085642317381,5669,False
CADEC,BioBERT,confidence,0.3,0.7019400352733686,0.29805996472663143,5669,False
CADEC,BioBERT,confidence,0.25,0.7108603667136812,0.28913963328631875,5669,False
CADEC,BioBERT,confidence,0.2,0.7231040564373897,0.27689594356261027,5669,False
CADEC,BioBERT,confidence,0.15,0.736780258519389,0.263219741480611,5669,False
CADEC,BioBERT,confidence,0.1,0.7548500881834215,0.24514991181657853,5669,False
CADEC,BioBERT,entropy,1.0,0.4103016405009702,0.5896983594990298,5669,False
CADEC,BioBERT,entropy,0.95,0.43167471221685855,0.5683252877831415,5669,False
CADEC,BioBERT,entropy,0.9,0.4554183813443073,0.5445816186556927,5669,False
CADEC,BioBERT,entropy,0.85,0.4810126582278481,0.5189873417721519,5669,False
CADEC,BioBERT,entropy,0.8,0.5105820105820106,0.4894179894179894,5669,False
CADEC,BioBERT,entropy,0.75,0.5395108184383819,0.4604891815616181,5669,False
CADEC,BioBERT,entropy,0.7,0.5731922398589065,0.42680776014109345,5669,False
CADEC,BioBERT,entropy,0.65,0.6108548168249661,0.3891451831750339,5669,False
CADEC,BioBERT,entropy,0.6,0.647854203409759,0.35214579659024103,5669,False
CADEC,BioBERT,entropy,0.55,0.6475304682488775,0.3524695317511225,5669,False
CADEC,BioBERT,entropy,0.5,0.6529100529100529,0.3470899470899471,5669,False
CADEC,BioBERT,entropy,0.45,0.6547805642633229,0.3452194357366771,5669,False
CADEC,BioBERT,entropy,0.4,0.6556437389770723,0.3443562610229277,5669,False
CADEC,BioBERT,entropy,0.35,0.6619647355163728,0.3380352644836272,5669,False
CADEC,BioBERT,entropy,0.3,0.6690182245737801,0.33098177542621987,5669,False
CADEC,BioBERT,entropy,0.25,0.6791255289139634,0.3208744710860366,5669,False
CADEC,BioBERT,entropy,0.2,0.671957671957672,0.328042328042328,5669,False
CADEC,BioBERT,entropy,0.15,0.6839012925969448,0.31609870740305523,5669,False
CADEC,BioBERT,entropy,0.1,0.691358024691358,0.308641975308642,5669,False
CADEC,BioBERT,margin,1.0,0.4103016405009702,0.5896983594990298,5669,False
CADEC,BioBERT,margin,0.95,0.39974006683995544,0.6002599331600446,5669,False
CADEC,BioBERT,margin,0.9,0.38879090730942584,0.6112090926905742,5669,False
CADEC,BioBERT,margin,0.85,0.36335339282008716,0.6366466071799128,5669,False
CADEC,BioBERT,margin,0.8,0.34942680776014107,0.650573192239859,5669,False
CADEC,BioBERT,margin,0.75,0.3379586077140169,0.6620413922859831,5669,False
CADEC,BioBERT,margin,0.7,0.32829428067523303,0.671705719324767,5669,False
CADEC,BioBERT,margin,0.65,0.3137042062415197,0.6862957937584804,5669,False
CADEC,BioBERT,margin,0.6,0.31040564373897706,0.689594356261023,5669,False
CADEC,BioBERT,margin,0.55,0.3033996151379089,0.6966003848620911,5669,False
CADEC,BioBERT,margin,0.5,0.2874779541446208,0.7125220458553791,5669,False
CADEC,BioBERT,margin,0.45,0.2672413793103448,0.7327586206896552,5669,False
CADEC,BioBERT,margin,0.4,0.24691358024691357,0.7530864197530864,5669,False
CADEC,BioBERT,margin,0.35,0.23476070528967255,0.7652392947103275,5669,False
CADEC,BioBERT,margin,0.3,0.21281599059376838,0.7871840094062317,5669,False
CADEC,BioBERT,margin,0.25,0.191114245416079,0.808885754583921,5669,False
CADEC,BioBERT,margin,0.2,0.1657848324514991,0.8342151675485009,5669,False
CADEC,BioBERT,margin,0.15,0.14336075205640422,0.8566392479435958,5669,False
CADEC,BioBERT,margin,0.1,0.12522045855379188,0.8747795414462081,5669,False
CADEC,BioBERT,random,1.0,0.4103016405009702,0.5896983594990298,5669,False
CADEC,BioBERT,random,0.95,0.40990531006312664,0.5900946899368733,5669,False
CADEC,BioBERT,random,0.9,0.4101116990005879,0.589888300999412,5669,False
CADEC,BioBERT,random,0.85,0.4097738119941897,0.5902261880058103,5669,False
CADEC,BioBERT,random,0.8,0.41000881834215164,0.5899911816578484,5669,False
CADEC,BioBERT,random,0.75,0.4105244590780809,0.5894755409219191,5669,False
CADEC,BioBERT,random,0.7,0.41155202821869485,0.5884479717813051,5669,False
CADEC,BioBERT,random,0.65,0.4114925373134328,0.5885074626865672,5669,False
CADEC,BioBERT,random,0.6,0.4118900646678424,0.5881099353321576,5669,False
CADEC,BioBERT,random,0.55,0.4118826170622194,0.5881173829377806,5669,False
CADEC,BioBERT,random,0.5,0.411957671957672,0.5880423280423279,5669,False
CADEC,BioBERT,random,0.45,0.4121277429467085,0.5878722570532915,5669,False
CADEC,BioBERT,random,0.4,0.4115079365079365,0.5884920634920635,5669,False
CADEC,BioBERT,random,0.35,0.40982367758186394,0.590176322418136,5669,False
CADEC,BioBERT,random,0.3,0.40975896531452083,0.5902410346854792,5669,False
CADEC,BioBERT,random,0.25,0.40944992947813824,0.5905500705218618,5669,False
CADEC,BioBERT,random,0.2,0.41000881834215164,0.5899911816578484,5669,False
CADEC,BioBERT,random,0.15,0.41098707403055224,0.5890129259694478,5669,False
CADEC,BioBERT,random,0.1,0.4127865961199294,0.5872134038800706,5669,False
CADEC,BioMistral-7B,combined,1.0,0.24407917992223402,0.755920820077766,5658,False
CADEC,BioMistral-7B,combined,0.95,0.25297619047619047,0.7470238095238095,5658,False
CADEC,BioMistral-7B,combined,0.9,0.2603573532299234,0.7396426467700765,5658,False
CADEC,BioMistral-7B,combined,0.85,0.2661122661122661,0.7338877338877339,5658,False
CADEC,BioMistral-7B,combined,0.8,0.27236580516898606,0.7276341948310139,5658,False
CADEC,BioMistral-7B,combined,0.75,0.2834590009425071,0.7165409990574929,5658,False
CADEC,BioMistral-7B,combined,0.7,0.2832618025751073,0.7167381974248928,5658,False
CADEC,BioMistral-7B,combined,0.65,0.29064709081022294,0.709352909189777,5658,False
CADEC,BioMistral-7B,combined,0.6,0.2972017673048601,0.7027982326951399,5658,False
CADEC,BioMistral-7B,combined,0.55,0.2991645244215938,0.7008354755784062,5658,False
CADEC,BioMistral-7B,combined,0.5,0.30434782608695654,0.6956521739130435,5658,False
CADEC,BioMistral-7B,combined,0.45,0.31841382018060466,0.6815861798193954,5658,False
CADEC,BioMistral-7B,combined,0.4,0.30697879858657245,0.6930212014134276,5658,False
CADEC,BioMistral-7B,combined,0.35,0.28924785461887936,0.7107521453811206,5658,False
CADEC,BioMistral-7B,combined,0.3,0.29387514723203767,0.7061248527679623,5658,False
CADEC,BioMistral-7B,combined,0.25,0.303886925795053,0.6961130742049471,5658,False
CADEC,BioMistral-7B,combined,0.2,0.3286219081272085,0.6713780918727915,5658,False
CADEC,BioMistral-7B,combined,0.15,0.37691401648998824,0.6230859835100118,5658,False
CADEC,BioMistral-7B,combined,0.1,0.42579505300353354,0.5742049469964665,5658,False
CADEC,BioMistral-7B,combined_3,1.0,0.24407917992223402,0.755920820077766,5658,False
CADEC,BioMistral-7B,combined_3,0.95,0.24758184523809523,0.7524181547619048,5658,False
CADEC,BioMistral-7B,combined_3,0.9,0.2511290005890438,0.7488709994109561,5658,False
CADEC,BioMistral-7B,combined_3,0.85,0.25571725571725573,0.7442827442827442,5658,False
CADEC,BioMistral-7B,combined_3,0.8,0.2591119946984758,0.7408880053015242,5658,False
CADEC,BioMistral-7B,combined_3,0.75,0.2650801131008483,0.7349198868991518,5658,False
CADEC,BioMistral-7B,combined_3,0.7,0.27291088109063366,0.7270891189093663,5658,False
CADEC,BioMistral-7B,combined_3,0.65,0.2759651984774334,0.7240348015225666,5658,False
