dataset,model,n,signal,aurc_point,ci_low,ci_high
CADEC,BERT-base,5669,margin,0.7597914561748987,0.7506341723718093,0.7693170137758053
CADEC,BERT-base,5669,combined,0.4427450508174726,0.4265258035792874,0.4578982542376593
CADEC,BERT-base,5669,combined_3,0.5556170420165715,0.5415261825621125,0.5704074344261089
CADEC,BioBERT,5669,entropy,0.3611119024271369,0.35508169558287034,0.3842248117730248
CADEC,BioBERT,5669,confidence,0.3579805514972435,0.3444220270170153,0.37314689607304796
CADEC,BioBERT,5669,margin,0.6443847991363026,0.631380011267777,0.6574412502516177
CADEC,BioBERT,5669,combined,0.3253419562000702,0.3115616747495609,0.33988838498814933
CADEC,BioBERT,5669,combined_3,0.3716178445411696,0.35700748187684295,0.386495604496523
CADEC,PubMedBERT,5669,entropy,0.3644545925373443,0.3569414512250307,0.3874179771808562
CADEC,PubMedBERT,5669,confidence,0.3523277392150173,0.3386597540753401,0.3678581667674193
CADEC,PubMedBERT,5669,margin,0.6527832644063374,0.6395146761415516,0.6653560918586685
CADEC,PubMedBERT,5669,combined,0.3221092490440123,0.30833458313078244,0.3378903313841895
CADEC,PubMedBERT,5669,combined_3,0.3731467452021546,0.35771002728861956,0.3885656037709892
CADEC,FLAN-T5-base,5668,entropy,0.6709748322218497,0.6682267279646141,0.694107851888499
CADEC,FLAN-T5-base,5668,confidence,0.6892347121094748,0.6809739282687848,0.7069239966027137
CADEC,FLAN-T5-base,5668,margin,0.6758183142807306,0.6629693740938797,0.6896545061346308
CADEC,FLAN-T5-base,5668,combined,0.6769646663567725,0.6652272989165878,0.6916372837411858
CADEC,FLAN-T5-base,5668,combined_3,0.6507874445461173,0.6388202380523583,0.6665312421581143
CADEC,BioMistral-7B,5658,entropy,0.6305899276192659,0.621298865354099,0.6502984908935637
CADEC,BioMistral-7B,5658,confidence,0.6356783047419573,0.6206766129344539,0.6514942533242888
CADEC,BioMistral-7B,5658,margin,0.6810233414475502,0.6676842712906457,0.695095524537176
CADEC,BioMistral-7B,5658,combined,0.631861539268908,0.618336687062794,0.6464579879504617
CADEC,BioMistral-7B,5658,combined_3,0.637680695943611,0.6236120019863985,0.6531735169939274
CADEC,Mistral-7B-Instruct-v0.1,5633,entropy,0.4957502637625753,0.4956527866879159,0.5252322351736425
CADEC,Mistral-7B-Instruct-v0.1,5633,confidence,0.4416352498563644,0.4288571240008877,0.45814044468211346
CADEC,Mistral-7B-Instruct-v0.1,5633,margin,0.5437083742364117,0.5291699031539182,0.5590466482393209
CADEC,Mistral-7B-Instruct-v0.1,5633,combined,0.4470411796729284,0.43309280278684376,0.4639131406498426
CADEC,Mistral-7B-Instruct-v0.1,5633,combined_3,0.4575277662996638,0.4438596551751577,0.47385482682936503
CADEC,Llama3-OpenBioLLM-8B,233,entropy,0.3805111594055289,0.3126121385730324,0.46326988781618955
CADEC,Llama3-OpenBioLLM-8B,233,confidence,0.3759414624692122,0.3183602091463042,0.4656340220830161
CADEC,Llama3-OpenBioLLM-8B,233,margin,0.4007676065461483,0.33260883568997646,0.4798589217895977
CADEC,Llama3-OpenBioLLM-8B,233,combined,0.3718529111167173,0.311244886670725,0.45877970446576977
CADEC,Llama3-OpenBioLLM-8B,233,combined_3,0.3702441495566981,0.3006380533576016,0.44589676185939686
CADEC,Meta-Llama-3-8B-Instruct,5193,entropy,0.456408778746556,0.45284756196149123,0.48324087006439786
CADEC,Meta-Llama-3-8B-Instruct,5193,confidence,0.3595456860499998,0.3463257515365008,0.37578569380782095
CADEC,Meta-Llama-3-8B-Instruct,5193,margin,0.3973498613242926,0.38143384701546607,0.41263484175450593
CADEC,Meta-Llama-3-8B-Instruct,5193,combined,0.3608375123664676,0.3475348084312143,0.37650055715806363
CADEC,Meta-Llama-3-8B-Instruct,5193,combined_3,0.3595132944222985,0.3443130083078793,0.3744614465276506
