dataset,model,signal,coverage,selective_accuracy,risk,n,small_n,n_keep,n_total
MedMentions,FLAN-T5-base,combined_3,0.85,0.2344497607655502,0.7655502392344498,491,False,,
MedMentions,FLAN-T5-base,combined_3,0.8,0.2442748091603053,0.7557251908396947,491,False,,
MedMentions,FLAN-T5-base,combined_3,0.75,0.2520325203252032,0.7479674796747968,491,False,,
MedMentions,FLAN-T5-base,combined_3,0.7,0.2558139534883721,0.7441860465116279,491,False,,
MedMentions,FLAN-T5-base,combined_3,0.65,0.265625,0.734375,491,False,,
MedMentions,FLAN-T5-base,combined_3,0.6,0.2813559322033898,0.7186440677966102,491,False,,
MedMentions,FLAN-T5-base,combined_3,0.55,0.3062730627306273,0.6937269372693726,491,False,,
MedMentions,FLAN-T5-base,combined_3,0.5,0.3130081300813008,0.6869918699186992,491,False,,
MedMentions,FLAN-T5-base,combined_3,0.45,0.3303167420814479,0.6696832579185521,491,False,,
MedMentions,FLAN-T5-base,combined_3,0.4,0.350253807106599,0.649746192893401,491,False,,
MedMentions,FLAN-T5-base,combined_3,0.35,0.3837209302325581,0.6162790697674418,491,False,,
MedMentions,FLAN-T5-base,combined_3,0.3,0.4121621621621621,0.5878378378378378,491,False,,
MedMentions,FLAN-T5-base,combined_3,0.25,0.4146341463414634,0.5853658536585367,491,False,,
MedMentions,FLAN-T5-base,combined_3,0.2,0.4343434343434343,0.5656565656565656,491,False,,
MedMentions,FLAN-T5-base,combined_3,0.15,0.4729729729729729,0.527027027027027,491,False,,
MedMentions,FLAN-T5-base,combined_3,0.1,0.54,0.4599999999999999,491,False,,
MedMentions,FLAN-T5-base,confidence,1.0,0.2097759674134419,0.790224032586558,491,False,,
MedMentions,FLAN-T5-base,confidence,0.95,0.2205567451820128,0.7794432548179872,491,False,,
MedMentions,FLAN-T5-base,confidence,0.9,0.2285067873303167,0.7714932126696833,491,False,,
MedMentions,FLAN-T5-base,confidence,0.85,0.2296650717703349,0.7703349282296651,491,False,,
MedMentions,FLAN-T5-base,confidence,0.8,0.2340966921119593,0.7659033078880407,491,False,,
MedMentions,FLAN-T5-base,confidence,0.75,0.2493224932249322,0.7506775067750677,491,False,,
MedMentions,FLAN-T5-base,confidence,0.7,0.2587209302325581,0.7412790697674418,491,False,,
MedMentions,FLAN-T5-base,confidence,0.65,0.265625,0.734375,491,False,,
MedMentions,FLAN-T5-base,confidence,0.6,0.2813559322033898,0.7186440677966102,491,False,,
MedMentions,FLAN-T5-base,confidence,0.55,0.2878228782287823,0.7121771217712177,491,False,,
MedMentions,FLAN-T5-base,confidence,0.5,0.2967479674796748,0.7032520325203252,491,False,,
MedMentions,FLAN-T5-base,confidence,0.45,0.2895927601809955,0.7104072398190044,491,False,,
MedMentions,FLAN-T5-base,confidence,0.4,0.2893401015228426,0.7106598984771574,491,False,,
MedMentions,FLAN-T5-base,confidence,0.35,0.2906976744186046,0.7093023255813953,491,False,,
MedMentions,FLAN-T5-base,confidence,0.3,0.2972972972972973,0.7027027027027026,491,False,,
MedMentions,FLAN-T5-base,confidence,0.25,0.2682926829268293,0.7317073170731707,491,False,,
MedMentions,FLAN-T5-base,confidence,0.2,0.2525252525252525,0.7474747474747474,491,False,,
MedMentions,FLAN-T5-base,confidence,0.15,0.2027027027027027,0.7972972972972973,491,False,,
MedMentions,FLAN-T5-base,confidence,0.1,0.2,0.8,491,False,,
MedMentions,FLAN-T5-base,entropy,1.0,0.2097759674134419,0.790224032586558,491,False,,
MedMentions,FLAN-T5-base,entropy,0.95,0.2184154175588865,0.7815845824411135,491,False,,
MedMentions,FLAN-T5-base,entropy,0.9,0.2194570135746606,0.7805429864253394,491,False,,
MedMentions,FLAN-T5-base,entropy,0.85,0.2224880382775119,0.777511961722488,491,False,,
MedMentions,FLAN-T5-base,entropy,0.8,0.2188295165394402,0.7811704834605597,491,False,,
MedMentions,FLAN-T5-base,entropy,0.75,0.2303523035230352,0.7696476964769647,491,False,,
MedMentions,FLAN-T5-base,entropy,0.7,0.2383720930232558,0.7616279069767442,491,False,,
MedMentions,FLAN-T5-base,entropy,0.65,0.24375,0.75625,491,False,,
MedMentions,FLAN-T5-base,entropy,0.6,0.2440677966101695,0.7559322033898305,491,False,,
MedMentions,FLAN-T5-base,entropy,0.55,0.2472324723247232,0.7527675276752768,491,False,,
MedMentions,FLAN-T5-base,entropy,0.5,0.2601626016260163,0.7398373983739837,491,False,,
MedMentions,FLAN-T5-base,entropy,0.45,0.2850678733031674,0.7149321266968326,491,False,,
MedMentions,FLAN-T5-base,entropy,0.4,0.299492385786802,0.700507614213198,491,False,,
MedMentions,FLAN-T5-base,entropy,0.35,0.2906976744186046,0.7093023255813953,491,False,,
MedMentions,FLAN-T5-base,entropy,0.3,0.2905405405405405,0.7094594594594594,491,False,,
MedMentions,FLAN-T5-base,entropy,0.25,0.2682926829268293,0.7317073170731707,491,False,,
MedMentions,FLAN-T5-base,entropy,0.2,0.2727272727272727,0.7272727272727273,491,False,,
MedMentions,FLAN-T5-base,entropy,0.15,0.2702702702702703,0.7297297297297297,491,False,,
MedMentions,FLAN-T5-base,entropy,0.1,0.22,0.78,491,False,,
MedMentions,FLAN-T5-base,margin,1.0,0.2097759674134419,0.790224032586558,491,False,,
MedMentions,FLAN-T5-base,margin,0.95,0.2162740899357601,0.7837259100642399,491,False,,
MedMentions,FLAN-T5-base,margin,0.9,0.2262443438914027,0.7737556561085973,491,False,,
MedMentions,FLAN-T5-base,margin,0.85,0.2248803827751196,0.7751196172248804,491,False,,
MedMentions,FLAN-T5-base,margin,0.8,0.2366412213740458,0.7633587786259541,491,False,,
MedMentions,FLAN-T5-base,margin,0.75,0.2520325203252032,0.7479674796747968,491,False,,
