coverage,n_keep,n_total,selective_accuracy,risk,dataset,model,signal,n,small_n
1.0,,,0.11510791366906477,0.8848920863309352,SQuAD2,BioMistral-7B,random,139,True
0.95,,,0.11578947368421053,0.8842105263157894,SQuAD2,BioMistral-7B,random,139,True
0.9,,,0.11746031746031746,0.8825396825396825,SQuAD2,BioMistral-7B,random,139,True
0.85,,,0.11596638655462185,0.8840336134453781,SQuAD2,BioMistral-7B,random,139,True
0.8,,,0.11517857142857142,0.8848214285714285,SQuAD2,BioMistral-7B,random,139,True
0.75,,,0.11571428571428573,0.8842857142857142,SQuAD2,BioMistral-7B,random,139,True
0.7,,,0.1173469387755102,0.8826530612244898,SQuAD2,BioMistral-7B,random,139,True
0.65,,,0.11538461538461539,0.8846153846153846,SQuAD2,BioMistral-7B,random,139,True
0.6,,,0.11488095238095239,0.8851190476190476,SQuAD2,BioMistral-7B,random,139,True
0.55,,,0.1181818181818182,0.8818181818181818,SQuAD2,BioMistral-7B,random,139,True
0.5,,,0.11857142857142858,0.8814285714285715,SQuAD2,BioMistral-7B,random,139,True
0.45,,,0.11587301587301588,0.8841269841269841,SQuAD2,BioMistral-7B,random,139,True
0.4,,,0.11428571428571428,0.8857142857142857,SQuAD2,BioMistral-7B,random,139,True
0.35,,,0.11224489795918369,0.8877551020408163,SQuAD2,BioMistral-7B,random,139,True
0.3,,,0.11785714285714285,0.8821428571428571,SQuAD2,BioMistral-7B,random,139,True
0.25,,,0.12142857142857141,0.8785714285714286,SQuAD2,BioMistral-7B,random,139,True
0.2,,,0.13035714285714284,0.8696428571428572,SQuAD2,BioMistral-7B,random,139,True
0.15,,,0.14285714285714285,0.8571428571428572,SQuAD2,BioMistral-7B,random,139,True
0.1,,,0.15714285714285714,0.8428571428571429,SQuAD2,BioMistral-7B,random,139,True
1.0,139.0,139.0,0.12949640287769784,0.8705035971223022,SQuAD2,Mistral-7B-Instruct-v0.1,entropy,139,True
0.95,133.0,139.0,0.13533834586466165,0.8646616541353384,SQuAD2,Mistral-7B-Instruct-v0.1,entropy,139,True
0.9,126.0,139.0,0.1349206349206349,0.8650793650793651,SQuAD2,Mistral-7B-Instruct-v0.1,entropy,139,True
0.85,119.0,139.0,0.14285714285714285,0.8571428571428572,SQuAD2,Mistral-7B-Instruct-v0.1,entropy,139,True
0.8,112.0,139.0,0.14285714285714285,0.8571428571428572,SQuAD2,Mistral-7B-Instruct-v0.1,entropy,139,True
0.75,105.0,139.0,0.1523809523809524,0.8476190476190476,SQuAD2,Mistral-7B-Instruct-v0.1,entropy,139,True
0.7,98.0,139.0,0.16326530612244897,0.8367346938775511,SQuAD2,Mistral-7B-Instruct-v0.1,entropy,139,True
0.65,91.0,139.0,0.17582417582417584,0.8241758241758241,SQuAD2,Mistral-7B-Instruct-v0.1,entropy,139,True
0.6,84.0,139.0,0.17857142857142858,0.8214285714285714,SQuAD2,Mistral-7B-Instruct-v0.1,entropy,139,True
0.55,77.0,139.0,0.18181818181818182,0.8181818181818181,SQuAD2,Mistral-7B-Instruct-v0.1,entropy,139,True
0.5,70.0,139.0,0.18571428571428572,0.8142857142857143,SQuAD2,Mistral-7B-Instruct-v0.1,entropy,139,True
0.45,63.0,139.0,0.19047619047619047,0.8095238095238095,SQuAD2,Mistral-7B-Instruct-v0.1,entropy,139,True
0.4,56.0,139.0,0.19642857142857142,0.8035714285714286,SQuAD2,Mistral-7B-Instruct-v0.1,entropy,139,True
0.35,49.0,139.0,0.20408163265306123,0.7959183673469388,SQuAD2,Mistral-7B-Instruct-v0.1,entropy,139,True
0.3,42.0,139.0,0.21428571428571427,0.7857142857142857,SQuAD2,Mistral-7B-Instruct-v0.1,entropy,139,True
0.25,35.0,139.0,0.22857142857142856,0.7714285714285715,SQuAD2,Mistral-7B-Instruct-v0.1,entropy,139,True
0.2,28.0,139.0,0.25,0.75,SQuAD2,Mistral-7B-Instruct-v0.1,entropy,139,True
0.15,21.0,139.0,0.23809523809523808,0.7619047619047619,SQuAD2,Mistral-7B-Instruct-v0.1,entropy,139,True
0.1,14.0,139.0,0.21428571428571427,0.7857142857142857,SQuAD2,Mistral-7B-Instruct-v0.1,entropy,139,True
1.0,139.0,139.0,0.12949640287769784,0.8705035971223022,SQuAD2,Mistral-7B-Instruct-v0.1,confidence,139,True
0.95,133.0,139.0,0.12030075187969924,0.8796992481203008,SQuAD2,Mistral-7B-Instruct-v0.1,confidence,139,True
0.9,126.0,139.0,0.11904761904761904,0.8809523809523809,SQuAD2,Mistral-7B-Instruct-v0.1,confidence,139,True
0.85,119.0,139.0,0.11764705882352941,0.8823529411764706,SQuAD2,Mistral-7B-Instruct-v0.1,confidence,139,True
0.8,112.0,139.0,0.10714285714285714,0.8928571428571429,SQuAD2,Mistral-7B-Instruct-v0.1,confidence,139,True
0.75,105.0,139.0,0.10476190476190476,0.8952380952380953,SQuAD2,Mistral-7B-Instruct-v0.1,confidence,139,True
0.7,98.0,139.0,0.08163265306122448,0.9183673469387755,SQuAD2,Mistral-7B-Instruct-v0.1,confidence,139,True
0.65,91.0,139.0,0.07692307692307693,0.9230769230769231,SQuAD2,Mistral-7B-Instruct-v0.1,confidence,139,True
0.6,84.0,139.0,0.05952380952380952,0.9404761904761905,SQuAD2,Mistral-7B-Instruct-v0.1,confidence,139,True
0.55,77.0,139.0,0.03896103896103896,0.961038961038961,SQuAD2,Mistral-7B-Instruct-v0.1,confidence,139,True
0.5,70.0,139.0,0.04285714285714286,0.9571428571428572,SQuAD2,Mistral-7B-Instruct-v0.1,confidence,139,True
0.45,63.0,139.0,0.031746031746031744,0.9682539682539683,SQuAD2,Mistral-7B-Instruct-v0.1,confidence,139,True
0.4,56.0,139.0,0.03571428571428571,0.9642857142857143,SQuAD2,Mistral-7B-Instruct-v0.1,confidence,139,True
0.35,49.0,139.0,0.02040816326530612,0.9795918367346939,SQuAD2,Mistral-7B-Instruct-v0.1,confidence,139,True
0.3,42.0,139.0,0.023809523809523808,0.9761904761904762,SQuAD2,Mistral-7B-Instruct-v0.1,confidence,139,True
0.25,35.0,139.0,0.02857142857142857,0.9714285714285714,SQuAD2,Mistral-7B-Instruct-v0.1,confidence,139,True
0.2,28.0,139.0,0.03571428571428571,0.9642857142857143,SQuAD2,Mistral-7B-Instruct-v0.1,confidence,139,True
0.15,21.0,139.0,0.047619047619047616,0.9523809523809523,SQuAD2,Mistral-7B-Instruct-v0.1,confidence,139,True
0.1,14.0,139.0,0.0,1.0,SQuAD2,Mistral-7B-Instruct-v0.1,confidence,139,True
1.0,139.0,139.0,0.12949640287769784,0.8705035971223022,SQuAD2,Mistral-7B-Instruct-v0.1,margin,139,True
0.95,133.0,139.0,0.12030075187969924,0.8796992481203008,SQuAD2,Mistral-7B-Instruct-v0.1,margin,139,True
0.9,126.0,139.0,0.11904761904761904,0.8809523809523809,SQuAD2,Mistral-7B-Instruct-v0.1,margin,139,True
0.85,119.0,139.0,0.12605042016806722,0.8739495798319328,SQuAD2,Mistral-7B-Instruct-v0.1,margin,139,True
0.8,112.0,139.0,0.125,0.875,SQuAD2,Mistral-7B-Instruct-v0.1,margin,139,True
0.75,105.0,139.0,0.13333333333333333,0.8666666666666667,SQuAD2,Mistral-7B-Instruct-v0.1,margin,139,True
0.7,98.0,139.0,0.1326530612244898,0.8673469387755102,SQuAD2,Mistral-7B-Instruct-v0.1,margin,139,True
0.65,91.0,139.0,0.13186813186813187,0.8681318681318682,SQuAD2,Mistral-7B-Instruct-v0.1,margin,139,True
0.6,84.0,139.0,0.14285714285714285,0.8571428571428572,SQuAD2,Mistral-7B-Instruct-v0.1,margin,139,True
0.55,77.0,139.0,0.15584415584415584,0.8441558441558441,SQuAD2,Mistral-7B-Instruct-v0.1,margin,139,True
0.5,70.0,139.0,0.17142857142857143,0.8285714285714285,SQuAD2,Mistral-7B-Instruct-v0.1,margin,139,True
0.45,63.0,139.0,0.19047619047619047,0.8095238095238095,SQuAD2,Mistral-7B-Instruct-v0.1,margin,139,True
