dataset,model,signal,coverage,selective_accuracy,risk
MedMentions,BioBERT,mapping_confidence,0.25,0.056910569105691054,0.943089430894309
MedMentions,BioBERT,mapping_confidence,0.2,0.06060606060606061,0.9393939393939394
MedMentions,BioBERT,mapping_confidence,0.15,0.04054054054054054,0.9594594594594594
MedMentions,BioBERT,mapping_confidence,0.1,0.04,0.96
MedMentions,BioBERT,random,1.0,0.07128309572301424,0.9287169042769857
MedMentions,BioBERT,random,0.95,0.07162740899357602,0.928372591006424
MedMentions,BioBERT,random,0.9,0.07217194570135746,0.9278280542986426
MedMentions,BioBERT,random,0.85,0.07200956937799044,0.9279904306220096
MedMentions,BioBERT,random,0.8,0.07251908396946563,0.9274809160305344
MedMentions,BioBERT,random,0.75,0.07168021680216803,0.9283197831978319
MedMentions,BioBERT,random,0.7,0.07194767441860464,0.9280523255813954
MedMentions,BioBERT,random,0.65,0.07234374999999998,0.9276562500000001
MedMentions,BioBERT,random,0.6,0.07322033898305086,0.9267796610169492
MedMentions,BioBERT,random,0.55,0.07380073800738007,0.9261992619926199
MedMentions,BioBERT,random,0.5,0.07642276422764227,0.9235772357723577
MedMentions,BioBERT,random,0.45,0.07805429864253392,0.9219457013574661
MedMentions,BioBERT,random,0.4,0.07791878172588831,0.9220812182741117
MedMentions,BioBERT,random,0.35,0.07674418604651162,0.9232558139534883
MedMentions,BioBERT,random,0.3,0.07263513513513513,0.9273648648648649
MedMentions,BioBERT,random,0.25,0.07560975609756097,0.9243902439024391
MedMentions,BioBERT,random,0.2,0.07777777777777779,0.9222222222222222
MedMentions,BioBERT,random,0.15,0.07635135135135135,0.9236486486486486
MedMentions,BioBERT,random,0.1,0.07400000000000002,0.9259999999999999
MedMentions,BioMistral-7B,combined,1.0,0.21792260692464357,0.7820773930753564
MedMentions,BioMistral-7B,combined,0.95,0.22269807280513917,0.7773019271948608
MedMentions,BioMistral-7B,combined,0.9,0.22624434389140272,0.7737556561085973
MedMentions,BioMistral-7B,combined,0.85,0.22248803827751196,0.777511961722488
MedMentions,BioMistral-7B,combined,0.8,0.22137404580152673,0.7786259541984732
MedMentions,BioMistral-7B,combined,0.75,0.22493224932249323,0.7750677506775068
MedMentions,BioMistral-7B,combined,0.7,0.2238372093023256,0.7761627906976745
MedMentions,BioMistral-7B,combined,0.65,0.221875,0.778125
MedMentions,BioMistral-7B,combined,0.6,0.24067796610169492,0.7593220338983051
MedMentions,BioMistral-7B,combined,0.55,0.23247232472324722,0.7675276752767528
MedMentions,BioMistral-7B,combined,0.5,0.23577235772357724,0.7642276422764227
MedMentions,BioMistral-7B,combined,0.45,0.25339366515837103,0.746606334841629
MedMentions,BioMistral-7B,combined,0.4,0.26903553299492383,0.7309644670050761
MedMentions,BioMistral-7B,combined,0.35,0.29651162790697677,0.7034883720930232
MedMentions,BioMistral-7B,combined,0.3,0.31756756756756754,0.6824324324324325
MedMentions,BioMistral-7B,combined,0.25,0.34146341463414637,0.6585365853658536
MedMentions,BioMistral-7B,combined,0.2,0.3838383838383838,0.6161616161616161
MedMentions,BioMistral-7B,combined,0.15,0.32432432432432434,0.6756756756756757
MedMentions,BioMistral-7B,combined,0.1,0.24,0.76
MedMentions,BioMistral-7B,entropy,1.0,0.21792260692464357,0.7820773930753564
MedMentions,BioMistral-7B,entropy,0.95,0.22269807280513917,0.7773019271948608
MedMentions,BioMistral-7B,entropy,0.9,0.22624434389140272,0.7737556561085973
MedMentions,BioMistral-7B,entropy,0.85,0.22248803827751196,0.777511961722488
MedMentions,BioMistral-7B,entropy,0.8,0.22391857506361323,0.7760814249363868
MedMentions,BioMistral-7B,entropy,0.75,0.22493224932249323,0.7750677506775068
MedMentions,BioMistral-7B,entropy,0.7,0.22674418604651161,0.7732558139534884
MedMentions,BioMistral-7B,entropy,0.65,0.225,0.775
MedMentions,BioMistral-7B,entropy,0.6,0.2305084745762712,0.7694915254237288
MedMentions,BioMistral-7B,entropy,0.55,0.23247232472324722,0.7675276752767528
MedMentions,BioMistral-7B,entropy,0.5,0.23577235772357724,0.7642276422764227
MedMentions,BioMistral-7B,entropy,0.45,0.2398190045248869,0.7601809954751131
MedMentions,BioMistral-7B,entropy,0.4,0.22842639593908629,0.7715736040609137
MedMentions,BioMistral-7B,entropy,0.35,0.23255813953488372,0.7674418604651163
MedMentions,BioMistral-7B,entropy,0.3,0.22297297297297297,0.777027027027027
MedMentions,BioMistral-7B,entropy,0.25,0.1951219512195122,0.8048780487804879
MedMentions,BioMistral-7B,entropy,0.2,0.16161616161616163,0.8383838383838383
MedMentions,BioMistral-7B,entropy,0.15,0.17567567567567569,0.8243243243243243
MedMentions,BioMistral-7B,entropy,0.1,0.18,0.8200000000000001
MedMentions,BioMistral-7B,mapping_confidence,1.0,0.21792260692464357,0.7820773930753564
MedMentions,BioMistral-7B,mapping_confidence,0.95,0.22698072805139186,0.7730192719486082
MedMentions,BioMistral-7B,mapping_confidence,0.9,0.2330316742081448,0.7669683257918551
MedMentions,BioMistral-7B,mapping_confidence,0.85,0.23684210526315788,0.7631578947368421
MedMentions,BioMistral-7B,mapping_confidence,0.8,0.24173027989821882,0.7582697201017812
MedMentions,BioMistral-7B,mapping_confidence,0.75,0.25474254742547425,0.7452574525745257
MedMentions,BioMistral-7B,mapping_confidence,0.7,0.26453488372093026,0.7354651162790697
MedMentions,BioMistral-7B,mapping_confidence,0.65,0.275,0.725
MedMentions,BioMistral-7B,mapping_confidence,0.6,0.288135593220339,0.711864406779661
MedMentions,BioMistral-7B,mapping_confidence,0.55,0.3025830258302583,0.6974169741697417
MedMentions,BioMistral-7B,mapping_confidence,0.5,0.3130081300813008,0.6869918699186992
MedMentions,BioMistral-7B,mapping_confidence,0.45,0.334841628959276,0.6651583710407241
MedMentions,BioMistral-7B,mapping_confidence,0.4,0.3553299492385787,0.6446700507614214
MedMentions,BioMistral-7B,mapping_confidence,0.35,0.31976744186046513,0.6802325581395349
MedMentions,BioMistral-7B,mapping_confidence,0.3,0.32432432432432434,0.6756756756756757
MedMentions,BioMistral-7B,mapping_confidence,0.25,0.3333333333333333,0.6666666666666667
MedMentions,BioMistral-7B,mapping_confidence,0.2,0.2828282828282828,0.7171717171717171
MedMentions,BioMistral-7B,mapping_confidence,0.15,0.22972972972972974,0.7702702702702703
MedMentions,BioMistral-7B,mapping_confidence,0.1,0.16,0.84
MedMentions,BioMistral-7B,random,1.0,0.21792260692464355,0.7820773930753564
MedMentions,BioMistral-7B,random,0.95,0.21702355460385442,0.7829764453961456
MedMentions,BioMistral-7B,random,0.9,0.21832579185520365,0.7816742081447964
MedMentions,BioMistral-7B,random,0.85,0.21973684210526315,0.7802631578947369
MedMentions,BioMistral-7B,random,0.8,0.2203562340966921,0.7796437659033079
MedMentions,BioMistral-7B,random,0.75,0.21991869918699183,0.7800813008130082
MedMentions,BioMistral-7B,random,0.7,0.21991279069767442,0.7800872093023256
MedMentions,BioMistral-7B,random,0.65,0.21890625,0.78109375
MedMentions,BioMistral-7B,random,0.6,0.2188135593220339,0.781186440677966
MedMentions,BioMistral-7B,random,0.55,0.21512915129151292,0.7848708487084871
MedMentions,BioMistral-7B,random,0.5,0.21524390243902441,0.7847560975609755
MedMentions,BioMistral-7B,random,0.45,0.21696832579185518,0.7830316742081448
MedMentions,BioMistral-7B,random,0.4,0.21624365482233507,0.7837563451776649
