dataset,model,signal,coverage,selective_accuracy,risk
CADEC,BioBERT,random,0.95,0.4103416264389157,0.5896583735610843
CADEC,BioBERT,random,0.9,0.41008230452674904,0.589917695473251
CADEC,BioBERT,random,0.85,0.4097634363975929,0.5902365636024072
CADEC,BioBERT,random,0.8,0.4102513227513227,0.5897486772486773
CADEC,BioBERT,random,0.75,0.4101246472248354,0.5898753527751646
CADEC,BioBERT,random,0.7,0.4104434366339128,0.5895565633660872
CADEC,BioBERT,random,0.65,0.4109769335142469,0.5890230664857531
CADEC,BioBERT,random,0.6,0.41125808348030574,0.5887419165196943
CADEC,BioBERT,random,0.55,0.4117062219371392,0.5882937780628608
CADEC,BioBERT,random,0.5,0.4117813051146385,0.5882186948853615
CADEC,BioBERT,random,0.45,0.41155956112852665,0.5884404388714733
CADEC,BioBERT,random,0.4,0.4120590828924162,0.5879409171075838
CADEC,BioBERT,random,0.35,0.4119143576826197,0.5880856423173804
CADEC,BioBERT,random,0.3,0.4127865961199294,0.5872134038800706
CADEC,BioBERT,random,0.25,0.4097672778561354,0.5902327221438646
CADEC,BioBERT,random,0.2,0.4108906525573192,0.5891093474426807
CADEC,BioBERT,random,0.15,0.4113983548766158,0.5886016451233842
CADEC,BioBERT,random,0.1,0.4135802469135802,0.5864197530864198
CADEC,BioMistral-7B,combined,1.0,0.24403604877186783,0.7559639512281322
CADEC,BioMistral-7B,combined,0.95,0.25292914264459737,0.7470708573554026
CADEC,BioMistral-7B,combined,0.9,0.26030624263839813,0.7396937573616018
CADEC,BioMistral-7B,combined,0.85,0.2660569528164623,0.7339430471835378
CADEC,BioMistral-7B,combined,0.8,0.27230565371024734,0.7276943462897527
CADEC,BioMistral-7B,combined,0.75,0.2833922261484099,0.7166077738515901
CADEC,BioMistral-7B,combined,0.7,0.28319030792529026,0.7168096920747098
CADEC,BioMistral-7B,combined,0.65,0.2905680891546616,0.7094319108453384
CADEC,BioMistral-7B,combined,0.6,0.29711425206124853,0.7028857479387515
CADEC,BioMistral-7B,combined,0.55,0.2990684227433344,0.7009315772566656
CADEC,BioMistral-7B,combined,0.5,0.30424028268551234,0.6957597173144876
CADEC,BioMistral-7B,combined,0.45,0.31841382018060466,0.6815861798193954
CADEC,BioMistral-7B,combined,0.4,0.30697879858657245,0.6930212014134276
CADEC,BioMistral-7B,combined,0.35,0.28924785461887936,0.7107521453811206
CADEC,BioMistral-7B,combined,0.3,0.29387514723203767,0.7061248527679623
CADEC,BioMistral-7B,combined,0.25,0.303886925795053,0.6961130742049471
